date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:47:17	4144/4144	---M-Z	404	error ('Not%20Found')	text/html	etag:1762689755-ssl-df	https://saaslyn-merge-html.netlify.app/robots.txt		(from )
13:47:18	246348/246348	---M-Z	200	added ('OK')	text/html	etag:%220e6bb7a9e9669d014f493498254751b8-ssl-df%22	https://saaslyn-merge-html.netlify.app/	./site-copy/saaslyn-merge-html.netlify.app/index.html	(from )
13:47:18	73/73	---M--	301	error ('Moved%20Permanently')	text/plain	date:Wed,%2004%20Mar%202026%2008:17:18%20GMT	http://saaslyn-html.netlify.app/assets/images/preview.png	./site-copy/saaslyn-html.netlify.app/assets/images/preview.0.delayed	(from https://saaslyn-merge-html.netlify.app/)
13:47:20	233347/233347	---M--	200	added ('OK')	image/png	etag:%223f1142b5d2599f68bd1eb79a579bd3d5-ssl%22	https://saaslyn-html.netlify.app/assets/images/preview.png	./site-copy/saaslyn-html.netlify.app/assets/images/preview.png	(from https://saaslyn-merge-html.netlify.app/)
13:47:20	2215/2215	---M--	200	added ('OK')	image/png	etag:%22dfd6024166b4bc31a5d0ab889435f366-ssl%22	https://saaslyn-merge-html.netlify.app/assets/images/favicon.png	./site-copy/saaslyn-merge-html.netlify.app/assets/images/favicon.png	(from https://saaslyn-merge-html.netlify.app/)
13:47:21	446/446	---M--	200	added ('OK')	text/css	etag:%22f22bb5d9e326e5de93d8f90befeee465-ssl%22	https://saaslyn-merge-html.netlify.app/assets/css/plugins.css	./site-copy/saaslyn-merge-html.netlify.app/assets/css/plugins.css	(from https://saaslyn-merge-html.netlify.app/)
13:47:23	306598/306598	---M-Z	200	added ('OK')	text/css	etag:%227859082f5282066659c2e6fd5ca015e4-ssl-df%22	https://saaslyn-merge-html.netlify.app/assets/css/style.css	./site-copy/saaslyn-merge-html.netlify.app/assets/css/style.css	(from https://saaslyn-merge-html.netlify.app/)
13:47:23	5047/5047	---M-Z	200	added ('OK')	image/svg+xml	etag:%22965e84e8032af2210a794b5762e89510-ssl-df%22	https://saaslyn-merge-html.netlify.app/assets/images/logo-icon.svg	./site-copy/saaslyn-merge-html.netlify.app/assets/images/logo-icon.svg	(from https://saaslyn-merge-html.netlify.app/)
13:47:24	12671/12671	---M-Z	200	added ('OK')	image/svg+xml	etag:%228386e2040e2d124a8e400843b21b469a-ssl-df%22	https://saaslyn-merge-html.netlify.app/assets/images/logo.svg	./site-copy/saaslyn-merge-html.netlify.app/assets/images/logo.svg	(from https://saaslyn-merge-html.netlify.app/)
13:47:27	29997/29997	---M--	200	added ('OK')	image/png	etag:%2228947c5f0bf25b74735f179122528e8f-ssl%22	https://saaslyn-merge-html.netlify.app/assets/images/new-images-v2/menu-mega-1.png	./site-copy/saaslyn-merge-html.netlify.app/assets/images/new-images-v2/menu-mega-1.png	(from https://saaslyn-merge-html.netlify.app/)
13:47:27	17980/17980	---M--	200	added ('OK')	image/png	etag:%22ccfe45eacdb4825c746127e97a3b885f-ssl%22	https://saaslyn-merge-html.netlify.app/assets/images/new-images-v2/menu-mega-2.png	./site-copy/saaslyn-merge-html.netlify.app/assets/images/new-images-v2/menu-mega-2.png	(from https://saaslyn-merge-html.netlify.app/)
13:47:29	188975/188975	---M-Z	200	added ('OK')	text/html	etag:%22612787cd050f4be5673e282d8c272049-ssl-df%22	https://saaslyn-merge-html.netlify.app/index-2	./site-copy/saaslyn-merge-html.netlify.app/index-2.html	(from https://saaslyn-merge-html.netlify.app/)
13:47:29	20957/20957	---M--	200	added ('OK')	image/png	etag:%22c9a51a7240b884c08e33f7a4bb71b93f-ssl%22	https://saaslyn-merge-html.netlify.app/assets/images/new-images-v2/menu-mega-3.png	./site-copy/saaslyn-merge-html.netlify.app/assets/images/new-images-v2/menu-mega-3.png	(from https://saaslyn-merge-html.netlify.app/)
13:47:31	172386/172386	---M-Z	200	added ('OK')	text/html	etag:%22bea2ab5c392425ac68d618a67825c685-ssl-df%22	https://saaslyn-merge-html.netlify.app/index-3	./site-copy/saaslyn-merge-html.netlify.app/index-3.html	(from https://saaslyn-merge-html.netlify.app/)
13:47:32	19864/19864	---M--	200	added ('OK')	image/png	etag:%22915cc27a61139e727bca6cb22a247251-ssl%22	https://saaslyn-merge-html.netlify.app/assets/images/new-images-v2/menu-mega-4.png	./site-copy/saaslyn-merge-html.netlify.app/assets/images/new-images-v2/menu-mega-4.png	(from https://saaslyn-merge-html.netlify.app/)
13:47:33	218288/218288	---M-Z	200	added ('OK')	text/html	etag:%220b7d1e6a69c72b043c01abbd62ebe6ea-ssl-df%22	https://saaslyn-merge-html.netlify.app/index-4	./site-copy/saaslyn-merge-html.netlify.app/index-4.html	(from https://saaslyn-merge-html.netlify.app/)
13:47:34	20340/20340	---M--	200	added ('OK')	image/png	etag:%2253752307516cbd63217b054ffe1becb1-ssl%22	https://saaslyn-merge-html.netlify.app/assets/images/new-images-v2/menu-mega-5.png	./site-copy/saaslyn-merge-html.netlify.app/assets/images/new-images-v2/menu-mega-5.png	(from https://saaslyn-merge-html.netlify.app/)
13:47:35	151438/151438	---M-Z	200	added ('OK')	text/html	etag:%22d63e086e3984384e5b7c65a284ace24e-ssl-df%22	https://saaslyn-merge-html.netlify.app/index-5	./site-copy/saaslyn-merge-html.netlify.app/index-5.html	(from https://saaslyn-merge-html.netlify.app/)
13:47:36	20429/20429	---M--	200	added ('OK')	image/png	etag:%22da6b2984e3892ee78bc2de92c7041119-ssl%22	https://saaslyn-merge-html.netlify.app/assets/images/new-images-v2/menu-mega-6.png	./site-copy/saaslyn-merge-html.netlify.app/assets/images/new-images-v2/menu-mega-6.png	(from https://saaslyn-merge-html.netlify.app/)
13:47:37	115836/115836	---M-Z	200	added ('OK')	text/html	etag:%2252b7f827b9c56715de9ab89b9204d0b5-ssl-df%22	https://saaslyn-merge-html.netlify.app/index-6	./site-copy/saaslyn-merge-html.netlify.app/index-6.html	(from https://saaslyn-merge-html.netlify.app/)
13:47:38	33604/33604	---M--	200	added ('OK')	image/png	etag:%22085141177a52de0d6d80c3da8a31bbcc-ssl%22	https://saaslyn-merge-html.netlify.app/assets/images/new-images-v2/menu-mega-7.png	./site-copy/saaslyn-merge-html.netlify.app/assets/images/new-images-v2/menu-mega-7.png	(from https://saaslyn-merge-html.netlify.app/)
13:47:38	166457/166457	---M-Z	200	added ('OK')	text/html	etag:%22484a55dcfb20f87d308aa1edff74fae9-ssl-df%22	https://saaslyn-merge-html.netlify.app/index-7	./site-copy/saaslyn-merge-html.netlify.app/index-7.html	(from https://saaslyn-merge-html.netlify.app/)
13:47:39	20404/20404	---M--	200	added ('OK')	image/png	etag:%22c132e7ac9f8b4ee17f09abd848f6789f-ssl%22	https://saaslyn-merge-html.netlify.app/assets/images/new-images-v2/menu-mega-8.png	./site-copy/saaslyn-merge-html.netlify.app/assets/images/new-images-v2/menu-mega-8.png	(from https://saaslyn-merge-html.netlify.app/)
